FID,value,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
18787,1,4,1,192.9949951,15.6836996,6.6750798,1186.02002,33.7700996,1.58333,2.3513501,0.671924,0.272195,-0.314045,57
115,1,4,5,0.971022,50.0982018,27.3668995,1136.609985,30.4176998,1.96758,-3.10811,0.66877,-9999,-9999,90.1249008
1431,1,2,2,116.2409973,8.67768,19.1462002,1152.73999,21.5373001,2.0759001,1,0.694006,0.267217,0.486336,217.0500031
9069,1,4,2,116.5650024,6.8046098,7.8179698,1191.800049,38.0859985,1.75806,-6.4054098,0.763407,0.105475,0.357787,598.5
21628,1,4,4,47.6943016,28.1868,27.8255997,1179.920044,64.3548965,1.72203,2.2432401,0.681388,0.314689,0.774164,1157.319946
22829,1,4,4,183.5039978,32.6585999,12.1511002,1185.920044,14.7035999,1.59504,-3.5945899,0.810726,0.285019,0.60576,657.973999
8336,1,4,1,1.33222,6.78439,10.6831999,1185.729981,106.2799988,1.64974,-15.8107996,0.690852,0.347204,-0.411698,28.5
9175,1,4,2,341.5650024,23.9624996,27.1658001,1191.680054,21.8896999,1.74862,-2.89189,0.835962,0.194149,0.596161,346.7170105
9490,1,4,5,85.0302963,86.3884964,39.0096016,1192.23999,53.3238983,1.72023,0.675676,0.735016,0.386531,0.826654,1855.790039
24841,1,4,3,255.9640045,29.4528999,12.2437,1177.140015,214.427002,1.6588399,2.2702701,0.735016,0.325836,0.733186,229.7740021
18644,1,4,1,197.2160034,12.3555002,33.1052017,1186.459961,41.148201,1.58761,-14.5404997,0.675079,0.385027,-0.38843,0
10058,1,4,5,15.3575001,91.5310974,52.2547989,1191.810059,48.8975983,1.71374,0.432432,0.643533,0.221406,0.440891,1207.810059
1440,1,2,2,127.0110016,38.5022011,19.6474991,1152.630005,45.9936981,2.0759001,1.83784,0.643533,0.250793,0.519562,28.5
3689,1,2,5,16.7826004,15.6435003,16.0986004,1162.449951,95.2305984,1.94875,0.702703,0.659306,0.406179,0.765619,28.5
7866,1,4,5,46.7899017,4.3899899,11.2318001,1189.030029,95.6951981,1.64133,-4.97297,0.763407,0.249516,0.707763,2847.290039
7860,1,4,5,270,10.7332001,3.5137501,1189.26001,20.5294991,1.6619101,-2.7297299,0.81388,0.350477,0.714125,3057.479981
19979,1,4,1,237.9949951,13.4289999,4.73069,1183.369995,36.1612015,1.5813299,-3.89189,0.757098,0.40979,-0.368421,28.5
21200,1,4,2,43.4089012,56.9608002,12.5922003,1184.910034,20.8931007,1.58242,-0.405405,0.694006,0.3086,0.705495,408.0580139
4791,1,2,1,341.5650024,10.7798996,4.7570701,1176.900024,39.6166,1.62023,-3.8108101,0.798107,0.615748,-0.378558,90.1249008
25630,1,2,3,312.0889893,40.9245987,36.2363014,1172.810059,166.2640076,1.39045,-0.486486,0.681388,0.397843,0.804364,182.4889984
28660,1,2,2,3.65222,87.0030975,11.6709003,1167.27002,108.2610016,1.31523,-4.8108101,0.621451,0.314871,0.696311,314.7929993
24472,1,4,3,264.9200134,57.4864998,21.6180992,1176.819946,12.6394997,1.62002,1.24324,0.602524,0.30199,0.722243,171
25275,1,4,5,38.7174988,40.5872993,34.2226982,1187.530029,57.8512001,1.67391,1.27027,0.712934,0.374466,0.843831,2065.409912
25631,1,2,3,303.7780151,50.0223999,38.5469017,1172.75,144.5980072,1.38972,-6.1351399,0.671924,0.374452,0.798088,205.5160065
27960,1,4,5,41.6725998,36.7480011,28.1170006,1172.949951,131.9830017,1.40339,-4.3783798,0.637224,0.326079,0.765184,1021.640015
3844,1,4,5,127.4049988,179.4279938,33.3068008,1175.930054,16.1282005,1.76811,7.8648601,0.649842,0.398131,0.811577,324.9500122
23690,1,4,5,48.094101,11.552,12.9438,1179.569946,95.4345016,1.64631,2.4054101,0.851735,0.332568,0.732623,63.7279015
6783,1,4,5,97.6333008,44.5980988,23.2311001,1184.300049,54.7566986,1.55835,-4.8648601,0.662461,0.306379,0.74466,364.9779968
21886,1,4,3,304.3800049,16.1863995,31.2089005,1192.030029,100.6740036,1.7917,-4.6486502,0.782334,0.382542,0.830138,1523.349976
9874,1,4,2,31.3729992,6.34514,11.8936996,1191.880005,82.2665024,1.7257,-15.5404997,0.769716,0.258931,0.567836,1114.780029
8740,1,4,2,67.2490005,14.8973999,16.4293003,1191.630005,21.1543999,1.7589,-2.8378401,0.744479,0.170472,0.408751,117.5090027
16793,1,4,1,169.0460052,9.8172503,15.4814997,1190.949951,23.9922009,1.75414,0.594595,0.769716,0.0654902,0.214845,205.5160065
12569,1,4,5,116.5650024,10.0481997,12.1754999,1192.51001,40.6651001,1.81402,-8.3513498,0.763407,0.393113,0.818779,161.2200012
14132,1,4,5,75.5792007,26.0277004,25.4314995,1191.869995,99.3421021,1.77677,-2.94595,0.630915,0.292286,0.697815,640.4580078
2560,1,2,1,291.0379944,12.0263996,3.49582,1168.319946,67.7817993,1.7747,-0.378378,0.700315,0.468026,-0.18894,80.610199
14320,1,4,2,213.6900024,42.9006996,1.81153,1192.050049,15.2785997,1.77237,-1.67568,0.706625,0.0130704,0.445208,199.5
12345,1,4,2,99.782402,23.6870003,21.1667995,1192.290039,18.9540005,1.76697,-2.3243201,0.794953,0.0966446,0.294899,0
14276,1,4,2,86.1858978,47.6688995,3.7723701,1192.170044,7.1883101,1.7705801,-0.162162,0.791798,0.221292,0.627109,286.42099
23516,1,4,5,101.689003,14.7784004,27.4540005,1188.380005,42.6697998,1.65143,1.56757,0.73817,0.371049,0.821159,286.42099
16366,1,4,5,156.5010071,29.5074997,23.7493992,1190.050049,44.8156013,1.7267801,0.756757,0.570978,0.202228,0.537956,90.1249008
5001,1,2,5,318.3659973,5.43295,6.0296798,1174.369995,26.7166004,1.6609401,-1.72973,0.801262,0.307831,0.633725,80.610199
6847,1,2,3,291.3710022,30.5874996,12.2242002,1183.339966,40.3474007,1.55625,-3.1621599,0.602524,0.321463,0.2007,142.5
24116,1,4,5,119.6869965,20.1161995,28.3780994,1182.52002,80.4194031,1.6107301,2.02703,0.630915,0.365656,0.766477,333.5840149
21216,1,4,2,348.9590149,31.9741001,20.1243992,1184.02002,9.6693401,1.5734299,8.4054098,0.776025,0.320489,0.778401,467.4349976
26113,1,4,2,73.4429016,21.8474007,9.6090899,1177.479981,134.9889984,1.41004,-6,0.643533,0.307273,0.671723,145.3220062
