FID,value,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
12622,1,4,5,153.4349976,23.7870998,7.8179698,1192.459961,18.9491005,1.7667,2.7567599,0.753943,-0.0845651,0.368841,370.5
8964,1,4,2,25.8602009,84.441803,48.1417999,1192.040039,45.8791008,1.7681,12.3242998,0.757098,0.420699,0.802056,912.4450073
27126,1,4,2,146.3099976,23.6847,1.81153,1178.060059,129.9360046,1.56937,-7.08108,0.722397,0.130786,0.3823,0
9983,1,4,5,51.3401985,30.7565994,6.4094801,1191.920044,100.9229965,1.70895,-11.2702999,0.640379,0.307092,0.738265,1365.920044
5813,1,4,5,147.9949951,22.9241009,18.3153992,1182.27002,59.7262993,1.55817,-4.3513498,0.719243,0.356782,0.736572,28.5
8001,1,4,3,305.9100037,46.3709984,17.4363995,1187.609985,23.6208992,1.69749,1.91892,0.694006,0.346239,0.686311,254.9120026
24100,1,4,4,130.2359924,25.9869003,4.2715101,1181.229981,130.6450043,1.71969,0.27027,0.697161,0.325402,0.659384,191.1840057
28376,1,4,5,82.4054031,12.0286999,14.8683004,1176.040039,99.194603,1.42468,-2,0.70347,0.30041,0.773401,153.477005
20168,1,4,1,357.8789978,34.9786987,19.5706005,1184.23999,40.0407982,1.5807,6.7567601,0.681388,0.352561,0.746606,57
8393,1,4,3,267.9689941,47.1388016,31.7495995,1185.439941,88.3803024,1.63202,3.91892,0.700315,0.408063,0.83983,228
1326,1,2,2,171.8699951,6.62428,7.07163,1152.969971,75.3552017,2.0759001,-1.81081,0.712934,0.158931,0.320779,80.610199
12213,1,4,2,95.4403,20.5890007,10.4836998,1192.469971,21.4734993,1.80414,0.783784,0.77918,0.0078687,0.62457,85.5
14452,1,4,1,0,4.4203,6.0090098,1191.680054,48.5868988,1.77785,-2.3783801,0.791798,0.323944,0.0017762,28.5
23864,1,4,5,155.3760071,51.4630013,13.0389996,1181.52002,120.2600021,1.66521,1.16216,0.55836,0.301969,0.765055,637.2789917
13045,1,4,5,229.9700012,18.2283001,8.1493702,1192.540039,14.6625996,1.84187,1.21622,0.791798,0.352073,0.781519,523.1900024
4110,1,2,5,135.923996,44.4743996,21.0375996,1174.390015,172.5789948,1.7760201,4.5675702,0.599369,0.353876,0.806811,80.610199
14587,1,4,1,84.805603,5.4356399,2.7735,1192.199951,46.3429985,1.76937,-2.6216199,0.712934,0.176471,0.0348706,28.5
19941,1,4,5,51.7098007,17.3003998,11.9884996,1180.23999,16.8185005,1.75899,4.3783798,0.694006,0.317236,0.734887,456.8900146
16668,1,4,2,136.5070038,17.3115997,13.2671003,1190.670044,57.266201,1.74639,-1.27027,0.643533,0.111254,0.241354,85.5
26491,1,4,2,103.2409973,20.7801991,8.7097197,1177.339966,85.302597,1.42497,-4.6756802,0.744479,-0.026178,0.300699,153.477005
18561,1,4,5,178.2640076,11.2486,16.1513996,1187.900024,17.3185005,1.65327,0.216216,0.66877,0.241675,0.387652,57
11404,1,4,5,142.628006,64.8315964,35.0267982,1187.780029,91.3080978,1.66835,-0.243243,0.643533,0.380787,0.808489,810.6229858
1032,1,2,2,167.470993,50.9380989,9.1878099,1153.569946,35.7335014,2.0759001,1.45946,0.675079,0.160215,0.456339,308.2749939
19688,1,4,4,355.6010132,18.5807991,15.9568005,1187.51001,27.9403,1.62947,-4.6216202,0.712934,0.347533,0.755877,855
20243,1,4,2,24.7434998,20.1837006,29.0466995,1183.75,49.9906998,1.5786099,-5.5675702,0.681388,0.310562,0.72,40.3050995
21028,1,4,3,35.8376999,8.9436798,11.0214005,1180.339966,140.0850067,1.7410901,-0.756757,0.697161,0.331203,0.773723,815.1199951
18663,1,4,2,190.2570038,26.4220009,25.0797997,1185.810059,15.7695999,1.58333,5.2702699,0.725552,0.294078,0.685695,201.5249939
587,1,4,5,105.3759995,126.7269974,19.9965992,1147.040039,40.6169014,2.0465901,-9.5405397,0.577287,0.374391,0.82659,460.4320068
20353,1,4,2,341.5650024,3.5789001,1.58894,1184.530029,92.3856964,1.58123,-11.8378,0.731861,0.312549,-0.105207,114
10334,1,4,2,260.3110046,47.0798988,10.3386002,1189.979981,67.9770966,1.72299,5.02703,0.681388,0.182497,0.467263,847.3660278
20709,1,4,3,304.5920105,28.5405998,17.1720009,1184.359985,21.0781002,1.57885,0.162162,0.716088,0.368266,0.772693,308.2749939
9025,1,4,2,167.3470001,23.1420002,33.4561005,1192.109985,31.6744003,1.7549,0.837838,0.757098,-0.0191571,0.314239,1287.560059
6879,1,4,5,68.1207962,76.2145004,30.9743996,1184.140015,64.0203018,1.55814,-2.51351,0.596215,0.335338,0.832345,764.7349854
2122,1,2,1,346.2179871,6.87081,13.4603004,1169.52002,116.75,1.7668999,-9.5405397,0.73817,0.153423,0.0634748,117.5090027
10538,1,4,1,358.2640076,4.5380998,8.2393503,1190.959961,15.3937998,1.72232,-1.83784,0.810726,0.580524,-0.486618,0
4534,1,2,4,229.8990021,11.7056999,23.5466003,1172.73999,64.2260971,1.83547,-2.10811,0.760252,0.171849,0.484695,127.4560013
15603,1,4,5,105.9449997,11.2137003,17.7084007,1189.660034,55.4516983,1.73549,-0.432432,0.753943,0.265271,0.654873,719.3070068
21384,1,4,5,339.7749939,25.7777996,5.0750699,1184.410034,68.0522995,1.5759,-1.3783799,0.700315,0.361944,0.750748,611.9210205
19843,1,4,5,249.3619995,11.7796001,19.843399,1184.73999,108.2770004,1.58333,-4.4594598,0.694006,0.381496,0.762431,497.7309875
27453,1,2,3,288.9620056,76.5715027,42.1242981,1172.349976,82.8826981,1.3944499,19.5405006,0.697161,0.34175,0.770186,191.1840057
17653,1,4,2,293.9620056,32.3765984,9.8031702,1190.060059,56.6842003,1.72372,-2.56757,0.709779,0.219953,0.434081,685.1859741
28694,1,2,3,8.9726295,91.8060989,22.8714008,1167,69.7746964,1.31033,0.72973,0.649842,0.29697,0.720603,400.0169983
25112,1,4,5,321.3399963,15.9874001,12.6624002,1189.800049,57.5756989,1.77272,-4.8378401,0.706625,0.37931,0.685525,4432.919922
15226,1,4,2,120.6190033,21.6669998,14.0216999,1191.800049,23.0242004,1.7739,0.513514,0.81388,0.145146,0.222771,182.4889984
23155,1,4,5,90,6.2613502,12.8477001,1188.420044,82.3775024,1.65385,-2.7297299,0.735016,0.337873,0.698598,408.0580139
26307,1,4,5,89.0607986,24.5967007,14.9802999,1176.920044,70.4354019,1.40265,-3.6486499,0.757098,0.307944,0.696848,28.5
23630,1,4,5,206.5650024,25.0289993,12.1754999,1185.76001,11.5557003,1.58333,-0.432432,0.77918,0.286533,0.633717,703.8980103
16119,1,4,2,129.1439972,26.3831005,13.6675997,1189.800049,8.1464901,1.73045,0,0.640379,0.0014073,0.128449,293.4249878
17399,1,4,1,344.0549927,9.7090702,10.8453999,1189.640015,95.5226974,1.72475,1.21622,0.70347,0.0435173,0.111323,826.5
354,1,2,5,63.4348984,84.0327988,10.0114002,1151.280029,8.1225405,2.0581,7.3783798,0.694006,0.306789,0.680113,293.4249878
9703,1,4,2,57.9945984,29.8246002,4.73069,1192,13.6394997,1.7260799,0.621622,0.81388,-0.0042715,0.383905,1250.109985
7990,1,4,5,335.5559998,56.9138985,11.9686003,1187.579956,22.3955002,1.6949,1.1351399,0.735016,0.345106,0.767897,297.5490112
13705,1,4,4,7.12502,10.6529999,29.5,1192.469971,64.2412033,1.7667201,-19.5135002,0.722397,0.308939,0.697993,405.0610046
26008,1,2,3,296.5650024,120.9629974,25.2087994,1172.76001,90.1931992,1.3880301,-6.2702699,0.567823,0.367597,0.783025,632.8029785
14360,1,4,2,187.2059937,48.8824997,21.0375996,1192.209961,8.8364296,1.76955,2.8108101,0.785489,0.105441,0.393204,171
16844,1,4,2,156.8009949,4.5509,3.82197,1190.729981,31.6695995,1.74301,-2.89189,0.760252,0.13802,0.222188,28.5
5231,1,2,5,241.1889954,7.9570799,11.3221998,1173.829956,65.8223038,1.66772,-5.89189,0.747634,0.369447,0.766887,235.0169983
12311,1,4,4,56.6335983,30.8973999,12.1511002,1192.479981,40.5628014,1.82778,-2.91892,0.769716,0.276132,0.666667,427.5
12924,1,4,2,173.9279938,28.691,11.7117004,1192.469971,11.6750002,1.7667,6.91892,0.810726,0.296356,0.634479,171
23802,1,4,4,188.1300049,11.1239004,3.54933,1179.660034,47.6380997,1.67189,2.8108101,0.883281,0.216603,0.581456,161.2200012
5153,1,2,5,299.0549927,10.3261003,15.1596003,1174.030029,10.7096996,1.67995,2.08108,0.794953,0.42464,0.79299,182.4889984
3538,1,2,5,293.8389893,74.0683975,11.6504002,1163.180054,24.7269993,1.90715,2.5945899,0.706625,0.316093,0.751221,1000.75
10919,1,4,2,225,21.7982998,18.1979008,1189.390015,32.0301018,1.72451,7.1891899,0.839117,0.0309046,0.104665,161.2200012
21145,1,4,4,0.763898,53.1200981,18.2099991,1185.060059,19.7833004,1.58333,5.1621599,0.700315,0.354911,0.701863,420.7969971
6270,1,2,5,73.0725021,22.0058994,22.8691998,1180.680054,19.0823994,1.54899,10.3242998,0.73817,0.287597,0.751322,1463.52002
13834,1,4,3,83.9909973,22.9466,18.5298996,1191.319946,33.7790985,1.77572,0,0.769716,0.294118,0.716878,1057.959961
22741,1,4,5,251.5650024,71.0983963,5.54532,1185.449951,9.8694096,1.59486,10.5676003,0.741325,0.356856,0.771494,1032.310059
25383,1,3,4,42.2737007,38.6983986,14.6176004,1179.849976,39.0194016,1.49502,-1.91892,0.678233,0.298938,0.706312,1588.349976
6726,1,2,5,318.3659973,35.5979004,17.5825996,1183.709961,12.0844002,1.56861,4.05405,0.794953,0.331416,0.770131,256.5
19198,1,4,2,354.8059998,12.7453003,10.9667997,1185.280029,18.3131008,1.58333,3.5945899,0.722397,0.239791,0.589166,463.9460144
6906,1,4,5,327.5289917,37.5822983,6.5246801,1183.819946,13.1858997,1.55814,2.3783801,0.728707,0.360649,0.727184,114
4376,1,2,5,128.1179962,40.097599,19.9188004,1173.170044,102.8619995,1.7760201,-0.891892,0.624606,0.363622,0.805579,57
25867,1,2,5,283.2409973,62.8226013,17.0345993,1172.790039,102.6529999,1.38863,-7.10811,0.548896,0.31834,0.746479,490.3330078
24260,1,4,4,154.654007,21.927,10.4490004,1178.869995,45.3185997,1.60918,-1.1351399,0.706625,0.29187,0.693101,207.4830017
17999,1,4,5,190.6199951,33.0952988,8.1267099,1185.800049,19.3628998,1.58333,2.91892,0.744479,0.35524,0.772358,542.25
19535,1,4,4,352.6480103,12.9608002,15.3327999,1185.319946,128.4089966,1.58333,-1.5945899,0.700315,0.276853,0.671406,752.9609985
