FID,value,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
6667,1,2,4,318.8999939,27.3925991,15.2990999,1183.910034,26.2271996,1.57307,4,0.810726,0.329396,0.743628,235.0169983
16975,1,4,5,53.972599,79.0683975,6.8038602,1189.52002,10.3206997,1.72475,1.3783799,0.678233,0.3165,0.627783,370.5
1834,1,2,2,303.0559998,24.5918007,18.2462006,1152.050049,9.7081804,2.05498,0.189189,0.709779,0.287234,0.687117,161.2200012
15100,1,4,2,14.4208002,20.4447002,9.0066099,1191.949951,16.1028996,1.7717201,-1.21622,0.791798,0.0247154,0.380471,352.526001
16377,1,4,2,182.0449982,34.3455009,13.8079004,1190.849976,67.5454025,1.77114,-6.89189,0.681388,0.191893,0.462495,665.3389893
16271,1,4,3,188.1300049,52.2582016,3.54933,1190.310059,37.2888985,1.74358,8.9189196,0.766562,0.219948,0.500177,383.428009
717,1,2,5,60.7512016,18.4505997,14.1085997,1154.77002,37.6977997,2.0759001,-3.3243201,0.731861,0.319447,0.683205,525.5139771
21829,1,4,5,281.3099976,4.3295598,8.8973703,1192.01001,126.4329987,1.8045599,-11.6485996,0.77918,0.393158,0.81095,1589.880005
2044,1,2,5,266.9869995,4.4699998,4.7701998,1164.140015,35.2831993,1.94356,-4.4864898,0.823344,0.317771,0.650125,943.5180054
24951,1,4,1,108.4349976,18.6783009,2.3826399,1177.579956,183.5420074,1.677,0.216216,0.596215,0.343511,-0.350154,40.3050995
10840,1,4,2,308.6600037,9.7143402,9.5646801,1189.449951,32.3572998,1.72435,-7.2432399,0.864353,0.0448718,0.127192,241.8309937
1991,1,2,4,199.3589935,91.7854996,9.7597103,1168.650024,45.3753014,1.8644201,6.7567601,0.665615,0.221997,0.600744,1931.699951
1771,1,2,4,290.8540039,14.3048,11.1513996,1156.27002,74.0496979,2.05916,-3.05405,0.722397,0.166993,0.519705,199.5
11970,1,4,5,169.5090027,17.7551994,6.86731,1192.439941,42.794899,1.81282,1.56757,0.794953,0.31708,0.766249,201.5249939
21794,1,4,5,252.7590027,26.1742992,14.9146996,1191.979981,94.5871964,1.80449,-4.6486502,0.709779,0.355827,0.810666,1685.359985
22230,1,4,5,231.7100067,61.9043999,11.9884996,1186.180054,148.7689972,1.61869,1,0.634069,0.30857,0.679128,434.098999
16152,1,4,4,167.276001,24.9888992,22.6928997,1189.439941,27.6639996,1.71614,3.08108,0.675079,0.270581,0.306036,40.3050995
3272,1,2,5,285.4880066,10.0915003,20.6942005,1164.449951,71.9343033,1.95357,-7.5945902,0.747634,0.308561,0.695388,235.0169983
21520,1,4,5,245.673996,17.9738998,19.3600006,1179.609985,114.2300034,1.73139,-11.0811005,0.62776,0.302067,0.682366,739.9030151
1909,1,2,5,232.2369995,134.6000061,21.4999008,1168.76001,65.3038025,1.85721,-1.32432,0.586751,0.348648,0.721775,1911.839966
9241,1,4,2,346.7810059,21.6170006,33.8732986,1191.780029,29.9094009,1.75257,-4.5675702,0.845426,0.0296797,0.347692,553.3699951
15186,1,4,2,131.3090057,32.5255013,10.9062996,1191.800049,12.2138996,1.77386,8.1081104,0.791798,0.12267,0.34726,182.4889984
3809,1,4,5,91.1232986,157.6600037,12.6110001,1176.069946,10.2041998,1.76653,6.1891899,0.725552,0.307164,0.718839,395.9349976
11183,1,4,4,69.5671997,51.3339005,13.4253998,1187.550049,25.5625992,1.63399,-1.78378,0.728707,0.250923,0.618138,933.5650024
